'id','description','dnusd','marginstd','plant','meta_series','year','region'
152,MTC10-13L,51.99999999,0.08,Masate,'868',2023,4
153,FBR15SZ,16.210707998,0.173881259001628,SN,'900',2023,4
154,MR16,26.3,0.158,Maximal,'961',2023,4
203,H4.0FT5-H5.5FT,54.969323552000006,0.12166036622392248,Craigavon,'005',2023,2
204,H135FT-H155FT,93.62789615236629,0.2474390565092784,Berea,'006',2023,2
205,J1.6-2.0XNT,26.443020042,0.0888581490307342,Craigavon,'160',2023,2
206,H16.00-22.00XM,328.067748356,0.013936395501966868,Nijmegen,'214',2023,2
207,J1.50-1.75EX/HEX,22.851785342536097,0.18932221741305555,SN,'225',2023,2
208,N35ZDR/N45ZR,43.89620000000001,0.08429589227897043,Greenville,'264',2023,2
209,J2.2-3.5XN,63.617625,0.09775937314506832,Craigavon,'276',2023,2
210,P2.0KUT,5.077794882331712,0.3045446587836891,Ruyi,'3B0',2023,2
211,P2.0UT ,3.320730143036494,0.281034589498151,Maximal,'3B5',2023,2
212,P2.0UT ,3.320730143036494,0.281034589498151,Ruyi,'3B5',2023,2
213,SL1.5WUT,5.6209917579989925,0.16389907341315074,Ruyi,'3B6',2023,2
214,H9XM-EC7,221.67,0.2955705790862303,Maximal,'3C0',2023,2
215,UT2.0-3.5UT,14.870519968217641,0.13846889218327943,Maximal,'3C1',2023,2
216,J1.5-3.5UT,16.65041100048909,0.11584408074383519,Maximal,'3C4',2023,2
217,MPC15,1.1456113928189426,0.22193736844174383,Staxx,'3D4',2023,2
218,R1.4/1.6/1.8/2.0/PLU,42.292275199671835,0.12973208449637877,Masate,'435',2023,2
219,LO2.0,13.062487008603705,0.21848889509222966,Masate,'444',2023,2
220,H2.0-2.5-3.0-3.5TX,0.0,0.0,SN,'466',2023,2
221,'H1.5-1.8TX, H2.0TXS',21.47918062074484,0.22581987313667717,SN,'475',2023,2
222,'',36.37132,0.17831267901717796,Greenville,'497',2023,2
1,H4.0FT5-H5.5FT,54.969323552000006,0.1216603662239223,Craigavon,'005',2023,1
2,H135FT-H155FT,93.62789615236629,0.2474390565092784,Berea,'006',2023,1
3,J1.6-2.0XNT,26.4430200488,0.08885814926504046,Craigavon,'160',2023,1
4,H2.0-3.5FT/H40-70FT,21.622108888200007,0.039060109409712426,Craigavon,'177',2023,1
5,R30XMA3,43.89620000000001,0.08429589227897043,Greenville,'185',2023,1
6,FBR25SZ,16.210707998,0.173881259001628,SN,'224',2023,1
7,J1.50-1.75EX/HEX,22.851805442000003,0.18932406722001888,SN,'225',2023,1
8,J2.00-3.00EX/HEX,20.708078125500002,0.09989942734244218,SN,'226',2023,1
9,'',10.6,0.25,Greenville,'234',2023,1
10,MPB045VG        ,5.836150000000001,0.30505416907155924,Greenville,'245',2023,1
11,N35ZDR/N45ZR,43.89620000000001,0.08429589227897043,Greenville,'264',2023,1
12,J2.2-3.5XN,63.617625,0.09775937314506832,Craigavon,'276',2023,1
13,NR035DC,29.636,0.28519054510371444,Greenville,'295',2023,1
14,P2.0UT,5.077794882331712,0.3045446587836891,Ruyi,'3B0',2023,1
15,P2.0RUT,4.67300714275,0.2426316555612543,Ruyi,'3B1',2023,1
