'id','aopf','hyg_lead_time','lrff','actual','average_dn','category','chinese_brand','clazz_id','competitor_lead_time','competitor_name','competitor_pricing','dealer_handling_cost','dealer_net','dealer_premium_percentage','dealer_pricing_premium','dealer_pricing_premium_percentage','dealer_street_pricing','market_share','model','plant','series','variance_percentage','color_id','country_id','created_at','created_by','latest_modified_at','latest_modified_by'
300,0,11.0,0,0,0.0,Class 5 (SN 2.5-3T),false,6,11.0,HYG,18723.72,18723.72,0.0,0.1,0.0,0.0,18723.72,0.1,'',SN,D466,0.0,1530,257,2024-03-11 15:59:39.823,admin@gmail.com,2024-03-11 15:59:40.065,admin@gmail.com
302,0,11.0,0,0,0.0,Class 5 (SN 2.5-3T),false,6,28.0,Jungheinrich(G),26642.34,18723.72,0.0,0.1,0.0,0.0,18723.72,0.21,'',SN,D466,0.297219388387056,1535,257,2024-03-11 15:59:39.824,admin@gmail.com,2024-03-11 15:59:40.066,admin@gmail.com
304,0,11.0,0,0,0.0,Class 5 (SN 2.5-3T),false,6,24.0,Toyota,25912.41,18723.72,0.0,0.1,0.0,0.0,18723.72,0.42,'',SN,D466,0.27742267122201286,1537,257,2024-03-11 15:59:39.825,admin@gmail.com,2024-03-11 15:59:40.066,admin@gmail.com
301,29,11.0,32,12,0.0,Class 5 (SN 2.5-3T),false,6,11.0,HYG,18723.72,18723.72,0.0,0.1,0.0,0.0,18723.72,0.1,'',SN,D871,0.0,1530,257,2024-03-11 15:59:39.824,admin@gmail.com,2024-03-11 15:59:40.082,admin@gmail.com
303,29,11.0,32,12,0.0,Class 5 (SN 2.5-3T),false,6,28.0,Jungheinrich(G),26642.34,18723.72,0.0,0.1,0.0,0.0,18723.72,0.21,'',SN,D871,0.297219388387056,1535,257,2024-03-11 15:59:39.824,admin@gmail.com,2024-03-11 15:59:40.082,admin@gmail.com
305,29,11.0,32,12,0.0,Class 5 (SN 2.5-3T),false,6,24.0,Toyota,25912.41,18723.72,0.0,0.1,0.0,0.0,18723.72,0.42,'',SN,D871,0.27742267122201286,1537,257,2024-03-11 15:59:39.825,admin@gmail.com,2024-03-11 15:59:40.082,admin@gmail.com
290,366,15.0,435,245,0.0,Class 5 (HYM 2.5-3T),false,6,15.0,HYG,14244.53,14244.53,0.0,0.1,0.0,0.0,14244.53,0.08,'',Maximal,A3C1,0.0,1530,257,2024-03-11 15:59:39.817,admin@gmail.com,2024-03-11 15:59:40.163,admin@gmail.com
292,366,15.0,435,245,0.0,Class 5 (HYM 2.5-3T),false,6,44.0,Crown,21532.85,14244.53,0.0,0.1,0.0,0.0,14244.53,0.03,'',Maximal,A3C1,0.33847447040219936,1534,257,2024-03-11 15:59:39.819,admin@gmail.com,2024-03-11 15:59:40.163,admin@gmail.com
319,0,22.0,0,0,10000.0,Class 5 (LPG),true,6,2.0,Heli,14461.54,10723.0,10000.0,0.1,1000.0,0.046034157344749804,21723.0,0.3235,'',,'',-0.5712711094392435,1531,274,2024-03-11 15:59:39.831,admin@gmail.com,2024-03-11 15:59:40.072,admin@gmail.com
320,0,22.0,0,0,10000.0,Class 5 (LPG),false,6,24.0,Toyota (Japan),24615.38,10723.0,10000.0,0.1,1000.0,0.046034157344749804,21723.0,0.2982,'',,'',0.07687795191461602,1537,274,2024-03-11 15:59:39.832,admin@gmail.com,2024-03-11 15:59:40.072,admin@gmail.com
321,0,22.0,0,0,10000.0,Class 5 (LPG),false,6,17.0,Komatsu (Japan),23076.92,10723.0,10000.0,0.1,1000.0,0.046034157344749804,21723.0,0.0909,'',,'',0.015336535378204643,1545,274,2024-03-11 15:59:39.832,admin@gmail.com,2024-03-11 15:59:40.072,admin@gmail.com
322,0,22.0,0,0,10000.0,Class 5 (LPG),true,6,2.0,Hangcha,13846.15,10723.0,10000.0,0.1,1000.0,0.046034157344749804,21723.0,0.0832,'',,'',-0.6411060114183366,1529,274,2024-03-11 15:59:39.832,admin@gmail.com,2024-03-11 15:59:40.072,admin@gmail.com
323,0,22.0,0,0,10000.0,Class 5 (LPG),false,6,11.0,HYG (SN),23076.93,10723.0,10000.0,0.1,1000.0,0.046034157344749804,21723.0,0.0157,'',,'',0.01533696206557806,1530,274,2024-03-11 15:59:39.833,admin@gmail.com,2024-03-11 15:59:40.072,admin@gmail.com
324,0,22.0,0,0,10000.0,Class 5 (LPG),false,6,15.0,HYG (HYM),20837.0,10723.0,10000.0,0.1,1000.0,0.046034157344749804,21723.0,0.0157,'',,'',-0.09051206987570187,1530,274,2024-03-11 15:59:39.833,admin@gmail.com,2024-03-11 15:59:40.073,admin@gmail.com
367,0,37.0,0,0,10000.0,Class 5 (155FT),false,6,26.0,Toyota,64749.3,8593.0,10000.0,0.1,1000.0,0.05103863624763946,19593.0,0.3,'',,'',0.6819579516689755,1537,293,2024-03-11 15:59:39.846,admin@gmail.com,2024-03-11 15:59:40.058,admin@gmail.com
368,0,37.0,0,0,10000.0,Class 5 (155FT),false,6,37.0,HYG,19593.0,8593.0,10000.0,0.1,1000.0,0.05103863624763946,19593.0,0.12,'',,'',-0.05103863624763946,1530,293,2024-03-11 15:59:39.846,admin@gmail.com,2024-03-11 15:59:40.058,admin@gmail.com
369,0,37.0,0,0,10000.0,Class 5 (155FT),false,6,5.0,Linde,19593.0,8593.0,10000.0,0.1,1000.0,0.05103863624763946,19593.0,0.2,'',,'',-0.05103863624763946,1539,293,2024-03-11 15:59:39.846,admin@gmail.com,2024-03-11 15:59:40.058,admin@gmail.com
346,0,5.0,0,0,10000.0,Class 5 (2.5T Combined),false,6,5.0,Toyota (China),19593.0,8593.0,10000.0,0.1,1000.0,0.05103863624763946,19593.0,0.2,'',,'',-0.05103863624763946,1537,293,2024-03-11 15:59:39.840,admin@gmail.com,2024-03-11 15:59:40.126,admin@gmail.com
347,0,5.0,0,0,10000.0,Class 5 (2.5T Combined),false,6,5.0,Mitsubishi-Vulcan (China),19593.0,8593.0,10000.0,0.1,1000.0,0.05103863624763946,19593.0,0.12,'',,'',-0.05103863624763946,1538,293,2024-03-11 15:59:39.840,admin@gmail.com,2024-03-11 15:59:40.126,admin@gmail.com
348,0,5.0,0,0,10000.0,Class 5 (2.5T Combined),false,6,5.0,Baoli (China),19593.0,8593.0,10000.0,0.1,1000.0,0.05103863624763946,19593.0,0.04,'',,'',-0.05103863624763946,1543,293,2024-03-11 15:59:39.841,admin@gmail.com,2024-03-11 15:59:40.126,admin@gmail.com
349,0,5.0,0,0,10000.0,Class 5 (2.5T Combined),true,6,5.0,Heli (China),19593.0,8593.0,10000.0,0.1,1000.0,0.05103863624763946,19593.0,0.02,'',,'',-0.05103863624763946,1531,293,2024-03-11 15:59:39.841,admin@gmail.com,2024-03-11 15:59:40.126,admin@gmail.com
364,0,34.0,0,0,10000.0,Class 5 (CRG 5T),false,6,40.0,Toyota,55292.3,52000.0,10000.0,0.1,1000.0,0.015873015873015872,63000.0,0.25,'',,'',-0.1574848577469195,1537,293,2024-03-11 15:59:39.845,admin@gmail.com,2024-03-11 15:59:40.172,admin@gmail.com
390,0,15.0,0,0,10000.0,Class 5 (3T),false,6,20.0,Toyota,15709.16,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,0.2,SN 3T,,'',-0.1119327831659999,1537,315,2024-03-11 15:59:39.854,admin@gmail.com,2024-03-11 15:59:40.112,admin@gmail.com
391,0,15.0,0,0,10000.0,Class 5 (3T),false,6,25.0,TCM,15244.85,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,0.28,SN 3T,,'',-0.14579874515000138,1546,315,2024-03-11 15:59:39.855,admin@gmail.com,2024-03-11 15:59:40.112,admin@gmail.com
392,0,15.0,0,0,10000.0,Class 5 (3T),false,6,17.0,KOMATSU FORKLIFT.,20661.8,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,0.04,SN 3T,,'',0.15459785691469285,1552,315,2024-03-11 15:59:39.855,admin@gmail.com,2024-03-11 15:59:40.112,admin@gmail.com
393,0,15.0,0,0,10000.0,Class 5 (3T),false,6,20.0,Sumitomo (Japan),16096.08,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,0.02,SN 3T,,'',-0.0852039751293482,1541,315,2024-03-11 15:59:39.855,admin@gmail.com,2024-03-11 15:59:40.112,admin@gmail.com
394,0,15.0,0,0,10000.0,Class 5 (3T),false,6,11.0,Hyster,19020.91,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,0.03,SN 3T,,'',0.0816669654606431,1533,315,2024-03-11 15:59:39.855,admin@gmail.com,2024-03-11 15:59:40.112,admin@gmail.com
374,0,11.0,0,0,10000.0,Class 5 (2.5T Combined) Diesel,false,6,16.0,Hyundai(South Korea),17389.21,11450.0,10000.0,0.1,1000.0,0.044543429844097995,22450.0,0.0645,'',,'',-0.34853739761610797,1551,307,2024-03-11 15:59:39.849,admin@gmail.com,2024-03-11 15:59:40.142,admin@gmail.com
375,0,11.0,0,0,10000.0,Class 5 (2.5T Combined) Diesel,false,6,11.0,HYG (SN),22450.0,11450.0,10000.0,0.1,1000.0,0.044543429844097995,22450.0,0.0645,'',,'',-0.044543429844097995,1530,307,2024-03-11 15:59:39.849,admin@gmail.com,2024-03-11 15:59:40.142,admin@gmail.com
376,0,11.0,0,0,10000.0,Class 5 (2.5T Combined) Diesel,false,6,4.0,Sumitomo (Japan 3T),22000.0,11450.0,10000.0,0.1,1000.0,0.044543429844097995,22450.0,0.0215,'',,'',-0.0659090909090909,1541,307,2024-03-11 15:59:39.850,admin@gmail.com,2024-03-11 15:59:40.142,admin@gmail.com
377,0,11.0,0,0,10000.0,Class 5 (2.5T Combined) Diesel,false,6,20.0,TCM,21521.0,11450.0,10000.0,0.1,1000.0,0.044543429844097995,22450.0,0.0215,'',,'',-0.08963338134845035,1546,307,2024-03-11 15:59:39.850,admin@gmail.com,2024-03-11 15:59:40.142,admin@gmail.com
378,0,15.0,0,0,10000.0,Class 5 (2.5-3T Combined),false,6,10.0,Toyota (Japan),18041.0,2582.879999999999,10000.0,0.1,1000.0,0.07362208898260163,13582.88,0.17,'',,'',0.19168117066681453,1537,315,2024-03-11 15:59:39.851,admin@gmail.com,2024-03-11 15:59:40.186,admin@gmail.com
379,0,15.0,0,0,10000.0,Class 5 (2.5-3T Combined),false,6,25.0,TCM (Japan),14587.39,2582.879999999999,10000.0,0.1,1000.0,0.07362208898260163,13582.88,0.01,'',,'',0.0003091711402794,1546,315,2024-03-11 15:59:39.851,admin@gmail.com,2024-03-11 15:59:40.186,admin@gmail.com
123,67,15.0,72,100,903.5310546875006,Class 2 (SNRT),false,2,15.0,HYG,22089.78,21095.895839843746,903.5310546875006,0.1,90.35310546875189,0.0040902673303560245,22089.78,0.13,'',SN,C915,-0.0040902673303560245,1530,257,,,2024-03-11 15:59:40.247,admin@gmail.com
411,0,11.0,0,0,10000.0,Class 5 (2.5-3T Combined),false,6,24.0,Toyota (China),16060.0,9900.0,10000.0,0.1,1000.0,0.04784688995215311,20900.0,0.2885,'',,'',-0.36363636363636365,1537,326,2024-03-11 15:59:39.861,admin@gmail.com,2024-03-11 15:59:40.031,admin@gmail.com
412,0,11.0,0,0,10000.0,Class 5 (2.5-3T Combined),false,6,20.0,Mistsubish (China),15840.0,9900.0,10000.0,0.1,1000.0,0.04784688995215311,20900.0,0.1058,'',,'',-0.38257575757575757,1538,326,2024-03-11 15:59:39.862,admin@gmail.com,2024-03-11 15:59:40.031,admin@gmail.com
413,0,11.0,0,0,10000.0,Class 5 (2.5-3T Combined),false,6,20.0,Unicarrier (Japan),17380.0,9900.0,10000.0,0.1,1000.0,0.04784688995215311,20900.0,0.0962,'',,'',-0.2600690448791715,1547,326,2024-03-11 15:59:39.862,admin@gmail.com,2024-03-11 15:59:40.032,admin@gmail.com
414,0,11.0,0,0,10000.0,Class 5 (2.5-3T Combined),false,6,15.0,HYG (China),19118.0,9900.0,10000.0,0.1,1000.0,0.04784688995215311,20900.0,0.0385,'',,'',-0.1455173135265195,1530,326,2024-03-11 15:59:39.862,admin@gmail.com,2024-03-11 15:59:40.032,admin@gmail.com
415,0,11.0,0,0,10000.0,Class 5 (2.5-3T Combined),false,6,22.0,Others (China),12320.0,9900.0,10000.0,0.1,1000.0,0.04784688995215311,20900.0,0.2115,'',,'',-0.7775974025974026,1550,326,2024-03-11 15:59:39.862,admin@gmail.com,2024-03-11 15:59:40.032,admin@gmail.com
416,0,11.0,0,0,10000.0,Class 5 (2.5-3T Combined),false,6,11.0,HYG (Japan),20900.0,9900.0,10000.0,0.1,1000.0,0.04784688995215311,20900.0,0.0385,'',,'',-0.04784688995215311,1530,326,2024-03-11 15:59:39.863,admin@gmail.com,2024-03-11 15:59:40.032,admin@gmail.com
417,0,11.0,0,0,10000.0,Class 5 (2.5-3T Combined),false,6,24.0,Toyota (Japan),17050.0,9900.0,10000.0,0.1,1000.0,0.04784688995215311,20900.0,0.2212,'',,'',-0.2844574780058651,1537,326,2024-03-11 15:59:39.863,admin@gmail.com,2024-03-11 15:59:40.032,admin@gmail.com
395,0,15.0,0,0,10000.0,Class 5 (3T),false,6,11.0,Yale,20029.58,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,0.0,SN 3T,,'',0.12791331620533244,1532,315,2024-03-11 15:59:39.856,admin@gmail.com,2024-03-11 15:59:40.112,admin@gmail.com
396,0,15.0,0,0,10000.0,Class 5 (3T),false,6,20.0,Toyota,12458.99,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,0.27,HYM 3T,,'',-0.4020020884517926,1537,315,2024-03-11 15:59:39.856,admin@gmail.com,2024-03-11 15:59:40.112,admin@gmail.com
55,181,15.0,203,95,460.53064426924067,Lead Acid,false,1,12.0,Clark,11593.75,18575.646291303834,460.5306442692406,0.1,46.05306442692381,0.0024134005526043763,19082.23,0.44,'',Maximal,A3C4,-0.6498788626998964,1527,247,,,2024-03-11 15:59:40.036,admin@gmail.com
