'id','aopf','hygleadtime','lrff','actual','averagedn','category','chinesebrand','clazz','competitorleadtime','competitorname','competitorpricing','dealerhandlingcost','dealernet','dealerpremiumpercentage','dealerpricingpremium','dealerpricingpremiumpercentage','dealerstreetpricing','ischinesebrand','marketshare','model','plant','region','series','variancepercentage','color_id','country_id'
1580,24,38.0,26,14,757.4540930979134,Order Picker,false,Class 2,38.0,Hyster,33858.92,41490.4504975923,757.4540930979134,0.1,75.74540930979128,0.0017896710068671128,42323.65,false,0.13,R30XM3,Greenville,Asia,E826,-0.25223708875858397,1533,247
1582,24,38.0,26,14,757.4540930979134,Order Picker,false,Class 2,75.0,Crown,33195.02,41490.4504975923,757.4540930979134,0.1,75.74540930979128,0.0017896710068671128,42323.65,false,0.4,SP3500,Greenville,Asia,E826,-0.2772818154442985,1534,247
1584,24,38.0,26,14,757.4540930979134,Order Picker,false,Class 2,48.0,Jungheinrich,40663.9,41490.4504975923,757.4540930979134,0.1,75.74540930979128,0.0017896710068671128,42323.65,false,0.1,EKS412,Greenville,Asia,E826,-0.042679020195057316,1535,247
1586,24,38.0,26,14,757.4540930979134,Order Picker,false,Class 2,12.0,Clark,23236.51,41490.4504975923,757.4540930979134,0.1,75.74540930979128,0.0017896710068671128,42323.65,false,0.25,OSX15,Greenville,Asia,E826,-0.824688621884689,1527,247
1721,0,0.0,0,0,10000.0,Class 3,true,Class 3,4.0,Hangcha,5600.0,-11000.0,10000.0,0.1,1000.0,0,0.0,false,0.0,'','',Pacific,'',0.8214285714285714,1529,293
1640,334,15.0,395,223,0.0,Class 5 (HYM 2.5-3T),false,Class 5 non BT,15.0,HYG,14244.53,14244.53,0.0,0.1,0.0,0.0,14244.53,false,0.08,'',Maximal,Asia,A7S1,0.0,1530,257
1642,334,15.0,395,223,0.0,Class 5 (HYM 2.5-3T),false,Class 5 non BT,44.0,Crown,21532.85,14244.53,0.0,0.1,0.0,0.0,14244.53,false,0.03,'',Maximal,Asia,A7S1,0.33847447040219936,1534,257
1644,334,15.0,395,223,0.0,Class 5 (HYM 2.5-3T),false,Class 5 non BT,28.0,Jungheinrich,20437.96,14244.53,0.0,0.1,0.0,0.0,14244.53,false,0.03,'',Maximal,Asia,A7S1,0.30303562586481225,1535,257
1646,334,15.0,395,223,0.0,Class 5 (HYM 2.5-3T),false,Class 5 non BT,24.0,Toyota,22992.7,14244.53,0.0,0.1,0.0,0.0,14244.53,false,0.39,'',Maximal,Asia,A7S1,0.3804759771579675,1537,257
1648,334,15.0,395,223,0.0,Class 5 (HYM 2.5-3T),false,Class 5 non BT,24.0,Mitsubishi/Nichiyu,20437.96,14244.53,0.0,0.1,0.0,0.0,14244.53,false,0.31,'',Maximal,Asia,A7S1,0.30303562586481225,1538,257
1867,0,11.0,0,0,10000.0,Class 5 (2.5-3T Combined),false,Class 5 non BT,24.0,Toyota (China),16060.0,9900.0,10000.0,0.1,1000.0,0.04784688995215311,20900.0,false,0.2885,'','',Asia,'',-0.36363636363636365,1537,326
1868,0,11.0,0,0,10000.0,Class 5 (2.5-3T Combined),false,Class 5 non BT,20.0,Mistsubish (China),15840.0,9900.0,10000.0,0.1,1000.0,0.04784688995215311,20900.0,false,0.1058,'','',Asia,'',-0.38257575757575757,1538,326
1869,0,11.0,0,0,10000.0,Class 5 (2.5-3T Combined),false,Class 5 non BT,20.0,Unicarrier (Japan),17380.0,9900.0,10000.0,0.1,1000.0,0.04784688995215311,20900.0,false,0.0962,'','',Asia,'',-0.2600690448791715,1547,326
1578,24,38.0,26,14,757.4540930979134,Order Picker,false,Class 2,38.0,Yale,42323.65,41490.4504975923,757.4540930979134,0.1,75.74540930979128,0.0017896710068671128,42323.65,false,0.12,OS030BF,Greenville,Asia,E826,-0.0017896710068671128,1532,247
1557,181,15.0,203,95,460.53064426924055,Lead Acid,false,Class 1,12.0,Clark,11593.75,18575.646291303834,460.53064426924055,0.1,46.05306442692381,0.0024134005526043763,19082.23,false,0.44,'',Maximal,Asia,A3C4,-0.6498788626998964,1527,247
1559,181,15.0,203,95,460.53064426924055,Lead Acid,false,Class 1,12.0,Doosan/Hyundai,14078.13,18575.646291303834,460.53064426924055,0.1,46.05306442692381,0.0024134005526043763,19082.23,false,0.28,'',Maximal,Asia,A3C4,-0.3587232867168384,1528,247
1561,181,15.0,203,95,460.53064426924055,Lead Acid,true,Class 1,17.0,Hangcha,16562.5,18575.646291303834,460.53064426924055,0.1,46.05306442692381,0.0024134005526043763,19082.23,false,0.15,'',Maximal,Asia,A3C4,-0.15491520388992744,1529,247
1563,181,15.0,203,95,460.53064426924055,Lead Acid,false,Class 1,15.0,HYG,19082.23,18575.646291303834,460.53064426924055,0.1,46.05306442692381,0.0024134005526043763,19082.23,false,0.02,'',Maximal,Asia,A3C4,-0.0024134005526043763,1530,247
1565,181,15.0,203,95,460.53064426924055,Lead Acid,true,Class 1,2.0,Heli,15734.38,18575.646291303834,460.53064426924055,0.1,46.05306442692381,0.0024134005526043763,19082.23,false,0.11,'',Maximal,Asia,A3C4,-0.21569982830126921,1531,247
1870,0,11.0,0,0,10000.0,Class 5 (2.5-3T Combined),false,Class 5 non BT,15.0,HYG (China),19118.0,9900.0,10000.0,0.1,1000.0,0.04784688995215311,20900.0,false,0.0385,'','',Asia,'',-0.1455173135265195,1530,326
1871,0,11.0,0,0,10000.0,Class 5 (2.5-3T Combined),false,Class 5 non BT,22.0,Others (China),12320.0,9900.0,10000.0,0.1,1000.0,0.04784688995215311,20900.0,false,0.2115,'','',Asia,'',-0.7775974025974026,1550,326
1872,0,11.0,0,0,10000.0,Class 5 (2.5-3T Combined),false,Class 5 non BT,11.0,HYG (Japan),20900.0,9900.0,10000.0,0.1,1000.0,0.04784688995215311,20900.0,false,0.0385,'','',Asia,'',-0.04784688995215311,1530,326
1873,0,11.0,0,0,10000.0,Class 5 (2.5-3T Combined),false,Class 5 non BT,24.0,Toyota (Japan),17050.0,9900.0,10000.0,0.1,1000.0,0.04784688995215311,20900.0,false,0.2212,'','',Asia,'',-0.2844574780058651,1537,326
1847,181,15.0,203,95,460.53064426924055,Class 1 (Lead Acid),false,Class 1,24.0,Toyota,21237.4,23209.416291303834,460.53064426924055,0.1,46.05306442692381,0.0019418563175461212,23716.0,false,0.53,'',Maximal,Asia,A3C4,-0.11887769050952199,1537,326
1849,181,15.0,203,95,460.53064426924055,Class 1 (Lead Acid),false,Class 1,20.0,Nichiyu,19800.0,23209.416291303834,460.53064426924055,0.1,46.05306442692381,0.0019418563175461212,23716.0,false,0.2,'',Maximal,Asia,A3C4,-0.2001036901225719,1553,326
1851,181,15.0,203,95,460.53064426924055,Class 1 (Lead Acid),false,Class 1,20.0,Unicarrier,20460.0,23209.416291303834,460.53064426924055,0.1,46.05306442692381,0.0019418563175461212,23716.0,false,0.15,'',Maximal,Asia,A3C4,-0.16139066786055345,1547,326
1853,181,15.0,203,95,460.53064426924055,Class 1 (Lead Acid),false,Class 1,44.0,Jungheinrich,21219.0,23209.416291303834,460.53064426924055,0.1,46.05306442692381,0.0019418563175461212,23716.0,false,0.11,'',Maximal,Asia,A3C4,-0.11984792235387737,1535,326
1855,181,15.0,203,95,460.53064426924055,Class 1 (Lead Acid),false,Class 1,15.0,HYG (HYM),23716.0,23209.416291303834,460.53064426924055,0.1,46.05306442692381,0.0019418563175461212,23716.0,false,0.01,'',Maximal,Asia,A3C4,-0.0019418563175461212,1530,326
1791,0,12.0,0,0,10000.0,Class 1 (SN Lead Acid 1.5-3.5T),false,Class 1,20.0,TCM,17179.47,10667.8,10000.0,0.1,1000.0,0.04615143207893741,21667.8,false,0.07,'','',Asia,'',-0.3194702746941552,1546,315
1792,0,12.0,0,0,10000.0,Class 1 (SN Lead Acid 1.5-3.5T),false,Class 1,20.0,KOMATSU FORKLIFT.,17798.55,10667.8,10000.0,0.1,1000.0,0.04615143207893741,21667.8,false,0.27,'','',Asia,'',-0.2735756564439238,1552,315
1793,0,12.0,0,0,10000.0,Class 1 (SN Lead Acid 1.5-3.5T),false,Class 1,12.0,Sumitomo (Japan),15941.31,10667.8,10000.0,0.1,1000.0,0.04615143207893741,21667.8,false,0.26,'','',Asia,'',-0.4219534028257402,1541,315
1795,0,12.0,0,0,10000.0,Class 1 (SN Lead Acid 1.5-3.5T),false,Class 1,12.0,Yale,22441.65,10667.8,10000.0,0.1,1000.0,0.04615143207893741,21667.8,false,0.02,'','',Asia,'',-0.010077244765870505,1532,315
1566,69,15.0,77,57,549.1261596452356,Lead Acid,true,Class 1,2.0,Heli,15734.38,18478.19122439024,549.1261596452356,0.1,54.912615964523866,0.0028776833716250075,19082.23,false,0.11,'',Maximal,Asia,A7S4,-0.21626289793207767,1531,247
1796,0,12.0,0,0,10000.0,Class 1 (SN Lead Acid 1.5-3.5T),false,Class 1,5.0,Toyota,19593.0,10667.8,10000.0,0.1,1000.0,0.04615143207893741,21667.8,false,0.02,'','',Asia,'',-0.15693359873424179,1537,315
1797,0,12.0,0,0,10000.0,Class 1 (SN Lead Acid 1.5-3.5T),false,Class 1,5.0,Mitsubishi,19593.0,10667.8,10000.0,0.1,1000.0,0.04615143207893741,21667.8,false,0.11,'','',Asia,'',-0.15693359873424179,1538,315
1820,0,15.0,0,0,10000.0,Class 5 (3T),false,Class 5 non BT,20.0,Toyota,15709.16,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,false,0.2,SN 3T,'',Asia,'',-0.1119327831659999,1537,315
1821,0,15.0,0,0,10000.0,Class 5 (3T),false,Class 5 non BT,25.0,TCM,15244.85,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,false,0.28,SN 3T,'',Asia,'',-0.14579874515000138,1546,315
1822,0,15.0,0,0,10000.0,Class 5 (3T),false,Class 5 non BT,17.0,KOMATSU FORKLIFT.,20661.8,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,false,0.04,SN 3T,'',Asia,'',0.15459785691469285,1552,315
