'modelcode','brand','clazz','family','metaseries','plant','segment','description','image','trucktype'
FBR20-30 STY,Y,Class 2,NA  Large Reach,'224',SN,C2 - Standard and Premium, , , 
FB15PYE,Y,Class 1,'1-2 Ton Electric DBB','881',SN,C1 1-3.5T - Standard and Premium, , , 
E40ZS,H,Class 1,'1-2 Ton Elec 4 Wheel','114',Greenville,C1 1-3.5T - Standard and Premium, , , 
J1.50EX,H,Class 1,'1-2 Ton Electric DBB','225',SN,C1 1-3.5T - Standard and Premium, , , 
E40XN,H,Class 1,'1-2 Ton Elec 4 Wheel','269',Greenville,C1 1-3.5T - Standard and Premium, , , 
EREC040AH,Y,Class 1,'1-2 Ton Elec 4 Wheel','814',Greenville,C1 1-3.5T - Standard and Premium, , , 
ERC040VA,Y,Class 1,'1-2 Ton Elec 4 Wheel','969',Greenville,C1 1-3.5T - Standard and Premium, , , 
E60XM2G,H,Class 1,'2-3 Ton Elec 4 Wheel','021',Greenville,C1 1-3.5T - Standard and Premium, , , 
E507E,H,Class 1,'2-3 Ton Elec 4 Wheel','108',Greenville,C1 1-3.5T - Standard and Premium, , , 
E70XN,H,Class 1,'2-3 Ton Elec 4 Wheel','268',Greenville,C1 1-3.5T - Standard and Premium, , , 
ERC060RF,Y,Class 1,'2-3 Ton Elec 4 Wheel','908',Greenville,C1 1-3.5T - Standard and Premium, , , 
ERC35VG,Y,Class 1,'2-3 Ton Elec 4 Wheel','968',Greenville,C1 1-3.5T - Standard and Premium, , , 
E80Z,H,Class 1,'3.2-5.5 Ton Elec 4Wh','098',Greenville,C1 4-9T - Standard and Premium, , , 
E80XN,H,Class 1,'3.2-5.5 Ton Elec 4Wh','099',Greenville,C1 4-9T - Standard and Premium, , , 
ERC120HH,Y,Class 1,'3.2-5.5 Ton Elec 4Wh','839',Greenville,C1 4-9T - Standard and Premium, , , 
A1.00-1.50XL,H,Class 1,'1-2 Ton 3 Wheel RWD','203',Craigavon,C1 1-3.5T - Standard and Premium, , , 
ERC/P 10-15 RCF,Y,Class 1,'1-2 Ton 3 Wheel RWD','888',Craigavon,C1 1-3.5T - Standard and Premium, , , 
J40XNT,H,Class 1,'1-2 Ton 3 Wheel FWD','160',Craigavon,C1 1-3.5T - Standard and Premium, , , 
ERP040VT,Y,Class 1,'1-2 Ton 3 Wheel FWD','807',Craigavon,C1 1-3.5T - Standard and Premium, , , 
E40HSD2,H,Class 1,'3 Wheel Stand Up FWD','219',Greenville,C1 1-3.5T - Standard and Premium, , , 
ESC035FA,Y,Class 1,'3 Wheel Stand Up FWD','883',Greenville,C1 1-3.5T - Standard and Premium, , , 
E50FR,H,Class 1,'3 Wheel Stand Up FWD','943',Masate,C1 1-3.5T - Standard and Premium, , , 
ESC050ZA,Y,Class 1,'3 Wheel Stand Up FWD','945',Greenville,C1 1-3.5T - Standard and Premium, , , 
ESC030AD,Y,Class 1,'3 Wheel Stand Up RWD','824',Greenville,C1 1-3.5T - Standard and Premium, , , 
J40XN,H,Class 1,'1-2 Ton Electric DBB','935',Craigavon,C1 1-3.5T - Standard and Premium, , , 
ERP065DH,H,Class 1,'2-3 Ton Electric DBB','216',Craigavon,C1 1-3.5T - Standard and Premium, , , 
J3.00EX,H,Class 1,'2-3 Ton Electric DBB','226',SN,C1 1-3.5T - Standard and Premium, , , 
J70XN,H,Class 1,'2-3 Ton Electric DBB','276',Craigavon,C1 1-3.5T - Standard and Premium, , , 
J65Z,H,Class 1,'2-3 Ton Electric DBB','416',Craigavon,C1 1-3.5T - Standard and Premium, , , 
FB20PYE,Y,Class 1,'2-3 Ton Electric DBB','882',SN,C1 1-3.5T - Standard and Premium, , , 
ERP070VL,Y,Class 1,'2-3 Ton Electric DBB','976',Craigavon,C1 1-3.5T - Standard and Premium, , , 
N45XMR3,H,Class 2,NA  Large Reach,'138',Greenville,C2 - Standard and Premium, , , 
N45ZR,H,Class 2,NA  Large Reach,'264',Greenville,C2 - Standard and Premium, , , 
NS050AE,Y,Class 2,NA  Large Reach,'816',Greenville,C2 - Standard and Premium, , , 
NR045CA,Y,Class 2,NA  Large Reach,'829',Greenville,C2 - Standard and Premium, , , 
NR045GA,Y,Class 2,NA  Large Reach,'861',Greenville,C2 - Standard and Premium, , , 
FBR13-18SY/WY,Y,Class 2,NA  Large Reach,'900',SN,C2 - Standard and Premium, , , 
R1.25-1.80EX/WEX,H,Class 2,NA  Large Reach,'915',SN,C2 - Standard and Premium, , , 
N40ZRS,H,Class 2,NA  Small Reach,'265',Greenville,C2 - Standard and Premium, , , 
NR040DA,Y,Class 2,NA  Small Reach,'295',Greenville,C2 - Standard and Premium, , , 
R2.0WA,H,Class 2,NA  Small Reach,'435',Masate,C2 - Standard and Premium, , , 
N40ZR,H,Class 2,NA  Small Reach,'470',Greenville,C2 - Standard and Premium, , , 
N50XMA3,H,Class 2,NA  Small Reach,'471',Greenville,C2 - Standard and Premium, , , 
NR045AC,Y,Class 2,NA  Small Reach,'815',Greenville,C2 - Standard and Premium, , , 
MR20A,Y,Class 2,NA  Small Reach,'849',Masate,C2 - Standard and Premium, , , 
R2.00-3.00EX *,H,Class 2,NA  Small Reach,'925',SN,C2 - Standard and Premium, , , 
