'hours','created_at','created_by','latest_modified_at','latest_modified_by','residualvaluepercent','years','product'
363250,2024-04-08 10:29:57.377,admin@gmail.com,2024-04-08 10:29:57.377,admin@gmail.com,0.15,2023,7320
243750,2024-04-08 10:29:57.379,admin@gmail.com,2024-04-08 10:29:57.379,admin@gmail.com,0.16,2023,7320
48500,2024-04-08 10:29:57.380,admin@gmail.com,2024-04-08 10:29:57.380,admin@gmail.com,0.12461516781700452,2023,7320
721000,2024-04-08 10:29:57.380,admin@gmail.com,2024-04-08 10:29:57.380,admin@gmail.com,0.055861971780036504,2023,7320
481000,2024-04-08 10:29:57.381,admin@gmail.com,2024-04-08 10:29:57.381,admin@gmail.com,0.10312979405545201,2023,7320
962000,2024-04-08 10:29:57.382,admin@gmail.com,2024-04-08 10:29:57.382,admin@gmail.com,0.01,2023,7320
361500,2024-04-08 10:29:57.382,admin@gmail.com,2024-04-08 10:29:57.382,admin@gmail.com,0.12031809306469401,2023,7320
1082000,2024-04-08 10:29:57.383,admin@gmail.com,2024-04-08 10:29:57.383,admin@gmail.com,0.01,2023,7320
1201000,2024-04-08 10:29:57.383,admin@gmail.com,2024-04-08 10:29:57.383,admin@gmail.com,0.030079523266173504,2023,7320
603250,2024-04-08 10:29:57.384,admin@gmail.com,2024-04-08 10:29:57.384,admin@gmail.com,0.08,2023,7320
60750,2024-04-08 10:29:57.384,admin@gmail.com,2024-04-08 10:29:57.384,admin@gmail.com,0.12031809306469401,2023,7320
363000,2024-04-08 10:29:57.385,admin@gmail.com,2024-04-08 10:29:57.385,admin@gmail.com,0.15,2023,7320
243000,2024-04-08 10:29:57.385,admin@gmail.com,2024-04-08 10:29:57.385,admin@gmail.com,0.17,2023,7320
601750,2024-04-08 10:29:57.385,admin@gmail.com,2024-04-08 10:29:57.385,admin@gmail.com,0.09,2023,7320
842750,2024-04-08 10:29:57.386,admin@gmail.com,2024-04-08 10:29:57.386,admin@gmail.com,0.04,2023,7320
241500,2024-04-08 10:29:57.387,admin@gmail.com,2024-04-08 10:29:57.387,admin@gmail.com,0.1847742143493515,2023,7320
72500,2024-04-08 10:29:57.387,admin@gmail.com,2024-04-08 10:29:57.387,admin@gmail.com,0.06875319603696801,2023,7320
723250,2024-04-08 10:29:57.387,admin@gmail.com,2024-04-08 10:29:57.387,admin@gmail.com,0.05,2023,7320
36750,2024-04-08 10:29:57.388,admin@gmail.com,2024-04-08 10:29:57.388,admin@gmail.com,0.17618006484473053,2023,7320
481750,2024-04-08 10:29:57.388,admin@gmail.com,2024-04-08 10:29:57.388,admin@gmail.com,0.12,2023,7320
721750,2024-04-08 10:29:57.389,admin@gmail.com,2024-04-08 10:29:57.389,admin@gmail.com,0.06,2023,7320
361750,2024-04-08 10:29:57.389,admin@gmail.com,2024-04-08 10:29:57.389,admin@gmail.com,0.16,2023,7320
1201250,2024-04-08 10:29:57.390,admin@gmail.com,2024-04-08 10:29:57.390,admin@gmail.com,0.01,2023,7320
603000,2024-04-08 10:29:57.391,admin@gmail.com,2024-04-08 10:29:57.391,admin@gmail.com,0.08,2023,7320
842000,2024-04-08 10:29:57.391,admin@gmail.com,2024-04-08 10:29:57.391,admin@gmail.com,0.05,2023,7320
243250,2024-04-08 10:29:57.392,admin@gmail.com,2024-04-08 10:29:57.392,admin@gmail.com,0.16,2023,7320
601500,2024-04-08 10:29:57.392,admin@gmail.com,2024-04-08 10:29:57.392,admin@gmail.com,0.09453564455083101,2023,7320
481500,2024-04-08 10:29:57.393,admin@gmail.com,2024-04-08 10:29:57.393,admin@gmail.com,0.09883271930314151,2023,7320
